Time frequency,Unit of measure,Tenure status,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,"Tenant, rent at market price",Denmark,13.7,15.9,15.5,14.9,15.7,16.1,17.6,18.2,17.6,16.8,18.3,17.0
Annual,Percentage,"Tenant, rent at market price",Euro area - 19 countries  (2015-2022),17.7,17.4,18.0,17.9,18.7,19.1,19.6,20.1,21.6,22.4,:,:
Annual,Percentage,"Tenant, rent at market price",Euro area – 20 countries (from 2023),:,:,18.0,18.0,18.8,19.1,19.7,20.1,21.6,22.6,21.9,23.0
Annual,Percentage,"Tenant, rent at market price",Estonia,19.3,30.0,27.2 b,18.4,21.3,25.6,21.6,22.3,24.3,30.1,33.2,35.5
Annual,Percentage,"Tenant, rent at market price",Greece,31.4,31.2,33.6,32.2,33.8,33.9,37.0,35.2,35.9,34.4,34.6,33.1
Annual,Percentage,"Tenant, rent at market price",Spain,14.1,12.0,12.0,11.7,12.5,12.4,12.8,16.3,18.8,15.4,14.9,17.5
Annual,Percentage,"Tenant, rent at market price",European Union - 27 countries (2007-2013),19.2,19.4,19.7,19.9,20.3,19.4,19.5,19.8 e,:,:,:,:
Annual,Percentage,"Tenant, rent at market price",European Union - 27 countries (from 2020),20.0 e,19.8 e,20.4 e,20.5 e,21.2 e,21.2 e,21.6 e,21.9 e,23.1,23.9,23.4,24.6
Annual,Percentage,"Tenant, rent at market price",European Union - 28 countries (2013-2020),19.3,19.4,19.7,20.0,20.4,19.4,19.5,19.8 e,:,:,:,:
Annual,Percentage,"Tenant, rent at market price",Finland,17.8,20.0,17.2,16.7,16.8,14.7,17.4,19.7,19.5,18.9,23.5,25.9
Annual,Percentage,"Tenant, rent at market price",France,18.8,15.6,17.3,16.1,17.2,17.7,19.7,19.3,18.8 b,19.0,18.0 b,18.5
Annual,Percentage,"Tenant, rent at market price",Croatia,63.7,74.8,68.4,65.2,63.5,70.4,72.7,63.2,63.8,60.6,69.1,59.4
Annual,Percentage,"Tenant, rent at market price",Hungary,67.5,65.3,60.2,61.9,58.8,58.5,29.7 b,33.3,25.3,29.7,33.8,25.6
Annual,Percentage,"Tenant, rent at market price",Ireland,3.6,4.7,7.9,6.0,7.2,6.9,8.8,7.1 b,7.9 b,12.7,12.2,12.9
Annual,Percentage,"Tenant, rent at market price",Iceland,19.8,26.7,15.8,13.9,13.3,16.2,22.8,30.3,:,:,:,:
Annual,Percentage,"Tenant, rent at market price",Italy,43.7,43.8,44.9,45.7,43.7,42.5,42.1,42.4,43.2,46.0,42.5,46.1
Annual,Percentage,"Tenant, rent at market price",Lithuania,50.6,71.5 b,68.0,62.6,37.5,35.7,47.8,54.8,53.3,71.5,50.2,52.0
Annual,Percentage,"Tenant, rent at market price",Luxembourg,18.4,15.9,17.6,20.6,20.9 b,22.8,21.5,19.1,22.7 b,20.5 b,14.4 b,17.7
Annual,Percentage,"Tenant, rent at market price",Latvia,56.2,57.6,61.6,63.3,63.9,64.6,65.9,57.0,66.6,60.0,65.2,68.0
Annual,Percentage,"Tenant, rent at market price",Montenegro,:,62.9,71.1,77.4,77.4,77.5,78.7,78.4,75.8,84.4,83.6,:
Annual,Percentage,"Tenant, rent at market price",North Macedonia,81.8,87.3,78.8 b,75.4,69.9,67.2,57.4,73.1,62.0,:,:,:
Annual,Percentage,"Tenant, rent at market price",Malta,12.2,13.3,12.1,7.8,11.9,8.0,8.9,6.0,12.1,7.6,6.7,10.0
Annual,Percentage,"Tenant, rent at market price",Netherlands,4.9,5.7,7.1,6.4,9.0 b,9.4,9.9,10.9,10.9,1.7,1.9,7.0
Annual,Percentage,"Tenant, rent at market price",Norway,23.6,26.9,22.8,24.3,23.8,23.4,22.6,22.3,20.8,21.0 b,20.1,20.5
Annual,Percentage,"Tenant, rent at market price",Poland,75.2,72.8,70.0,71.2,72.1,69.4,64.8,65.1,64.3 b,59.0,61.5,64.4 b
Annual,Percentage,"Tenant, rent at market price",Portugal,22.1,20.6,20.0,16.6,17.4,16.3,17.1,17.4,18.7,19.2,19.8,22.8
Annual,Percentage,"Tenant, rent at market price",Romania,74.5,74.5,67.2,81.0,73.9,67.3,68.0,74.3,71.8,60.6,55.1,55.0
Annual,Percentage,"Tenant, rent at market price",Serbia,:,80.1,72.5,74.7,79.8,80.6,79.7,80.5,74.1,73.6,87.0,:
Annual,Percentage,"Tenant, rent at market price",Sweden,29.5,28.3,30.5,31.7,32.8,30.4,34.0,32.8,34.3,34.3,35.6,36.1
Annual,Percentage,"Tenant, rent at market price",Slovenia,49.4,47.2,44.4,38.5,37.4,36.8,39.1,38.5,38.1,36.4,39.9,33.0
Annual,Percentage,"Tenant, rent at market price",Slovakia,63.0,65.5,65.3,61.6,57.6,57.1,59.3,64.0,65.1,65.7,62.2,60.8
Annual,Percentage,"Tenant, rent at market price",Türkiye,39.4,39.8,43.1,42.1,41.5,39.9,38.6,37.3,37.1,36.7,36.0,36.3
Annual,Percentage,"Tenant, rent at market price",United Kingdom,12.9 b,16.2,14.6,16.1,14.1,5.4 b,9.6,:,:,:,:,:
