Time frequency,Income and living conditions indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Poland,12.2,12.0,13.3,14.3,13.4,12.9,13.4,13.4,10.9,11.5,8.9,10.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Portugal,16.6,17.0,17.4,16.8,16.0,18.1,17.1,16.5,17.1,15.2 b,13.4,12.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Romania,14.6,14.4,15.0,16.0,16.3,15.9,15.0,15.9,16.5,18.5,14.4,15.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Serbia,:,24.6,24.1,26.7,25.2,29.2,24.3,21.4,25.3,22.6,23.7,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Sweden,8.1,8.4,7.9,9.0,7.3,6.5,8.5,7.8,8.7,7.8,8.7,7.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Slovenia,12.6,13.0,13.6,13.6,14.9,13.1,12.4,9.8,11.2,9.6,12.0,11.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Slovakia,9.1,8.8,9.9,9.0,8.1,7.2,9.5,7.2,8.6,8.4,8.9,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Türkiye,5.7,6.4,5.6,6.1,5.8,5.1,6.2,6.8,8.8,7.7,6.8,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,United Kingdom,11.5 b,9.9,10.3,10.2,11.3,10.9 b,9.1,:,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Albania,:,:,:,:,:,18.0,17.2,16.2,13.6,13.3,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Austria,7.0,5.5,4.7,4.8,7.5,4.9,2.8,4.9,7.8,6.6,5.3,2.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Belgium,8.0,6.0,9.2,9.2,10.5,8.3,4.7,6.6 b,7.2,5.7,8.1,7.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Bulgaria,9.9,10.7,12.0,12.7,10.8 b,12.2,9.5,9.8,8.4,8.0,8.5,7.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Switzerland,7.3,5.5,11.1 b,7.7,8.1,9.8,7.0,9.9,8.4,9.3,10.4,10.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Cyprus,8.9,10.7,12.8,14.0,9.0,10.3,6.5,4.3,5.0,7.1,9.0,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Czechia,5.9,5.3,3.0,2.6,1.7,1.7,1.4,1.8,0.7,0.6,1.8,2.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Germany,8.1,10.4,11.2,8.5,6.8,6.1,8.3,7.5,9.5 b,7.6,7.7,6.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Denmark,8.4,3.3,11.8,0.2,9.7,5.7,9.6,9.0,2.9 b,5.6,7.7,7.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Euro area - 19 countries  (2015-2022),10.5,10.9,12.5,12.0,11.8,11.1,11.5,11.5,11.3 b,9.8,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Euro area – 20 countries (from 2023),:,:,12.6,12.1,11.9,11.1,11.5,11.5,11.3,9.8,9.8,8.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Estonia,12.3,11.9,12.0 b,11.8,9.5,10.4,11.5,8.0,8.3,6.8,8.7,9.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Greece,20.5,20.9,21.7,18.6,19.6,19.4,15.3,15.3,17.0,15.2,13.9,12.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Spain,12.2,11.8,15.6,16.8,15.5,14.5,14.8,14.1,13.7,11.9,10.5,9.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,European Union - 27 countries (2007-2013),10.4,10.3,11.8,11.7,10.9,10.8,11.3,11.4 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,European Union - 27 countries (from 2020),10.5 e,10.8 e,12.1 e,11.6 e,11.3 e,11.1 e,11.1 e,11.2 e,11.1 b,9.8,9.8,8.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,European Union - 28 countries (2013-2020),10.4,10.3,11.9,11.8,11.0,10.8,11.3,11.4 e,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Finland,7.3,3.9,5.4,5.4,4.1,2.9,2.3,0.2,2.0,1.6,2.2,2.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,France,6.2,5.7,6.1,7.6,9.7,8.9,8.6,8.2,6.8 b,6.0,7.0 b,5.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Croatia,12.4,13.6,15.3,15.2,14.3,11.9,12.1,10.6,10.9,11.5,8.5,9.4 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Hungary,6.2,7.9,5.9,9.3,6.4,7.6,3.7,6.9,9.3,7.2,5.1,3.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Ireland,8.5,10.5,16.4,11.8,7.4,10.5,6.2,7.1 b,4.9 b,3.3,3.2,2.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Iceland,2.7,1.7,1.5,2.0,1.2,1.7,2.4,8.5,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Italy,11.4,12.1,13.3,12.8,13.2,12.1,13.9,14.5,13.8,11.9,13.0,10.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Lithuania,12.5,9.2,9.7,8.9,7.4,6.9,8.2,3.4,11.6,9.3,11.0,5.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Luxembourg,6.9,6.5,4.9,6.4,7.1 b,8.2,12.5,10.0,13.5 b,13.5 b,8.9 b,10.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Latvia,10.6,9.2,10.6,11.3,11.6,10.2,11.0,12.9,11.3,14.1,16.3,18.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,Montenegro,:,16.3,13.4,16.3,17.6,15.0,14.0,12.1,13.0,10.3,6.9,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Three or more adults,North Macedonia,20.6,21.0,16.4,13.5,13.6,12.5,11.5,12.9,12.2,:,:,:
