Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Finland,7.4,7.0,7.0,8.3,6.0,6.0,5.2,7.6,7.6,6.7,8.7 b,8.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,France,7.0,8.3,7.9,8.5,8.0,7.9,7.8,8.0,8.6,8.7,9.3,7.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Croatia,:,13.2,15.4,14.7,14.5,15.2,14.8,14.6,13.1,12.6,12.8 b,19.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Hungary,7.6,7.3,8.6,7.2,7.9,5.8,5.7,5.1,4.3,4.9,4.4,4.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Ireland,13.2,9.1,11.6,10.8,10.8,9.3,10.5,8.8,9.1 b,6.4,5.7,4.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Iceland,2.1,2.4,2.3,2.9,1.5,2.2,2.5,2.0,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Italy,13.1,13.2,12.9,14.3,14.5,13.9,15.3,14.1,12.8,12.8,13.0,14.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Lithuania,12.3,10.2,16.0,14.3,13.5,16.1,15.6,19.2,16.2,14.3,15.2,11.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Luxembourg,7.1,9.2,8.7,12.0,9.5 b,8.6,7.6,8.3,7.6 b,9.0 b,7.7 b,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Latvia,12.6 b,12.1,10.8,10.1,15.2,14.9,15.5,15.5,13.3,16.7,15.8,10.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Montenegro,:,:,:,:,15.6,15.3,14.7,14.7,14.9,13.4,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,North Macedonia,:,:,16.0,12.2,11.1,15.2,19.3,15.7,15.4,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Malta,9.7,8.4,10.7,12.7,10.7,10.8,10.9,13.3,10.0,13.1,13.3,14.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Netherlands,5.8,6.5,7.7,7.3,7.2 b,5.6,8.0,10.1,9.3,8.7,9.0,8.6
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Norway,6.6,6.2,5.5,7.4,5.0,5.2,5.3,8.5,5.8,7.6 b,6.1,5.4 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Poland,10.7,9.0,10.7,10.1,9.7,9.1,10.5,8.6,7.9,9.0,9.0,9.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Portugal,11.4,11.7,12.0,13.6,11.5,14.2,12.0,12.5,9.8,9.5,8.5,8.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Romania,18.7,17.1,19.5,19.3,20.2,19.1,19.9,16.8,17.0,17.3,15.4,14.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Serbia,:,:,:,:,16.7,18.4,19.6,15.9,14.5,16.5,13.0,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Sweden,7.2 b,7.6,6.6,7.0 b,6.1,7.1,5.7,7.4,5.5,8.7,9.4,8.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Slovenia,6.1,7.5,9.5,8.1,8.5,8.2,7.7,7.4,7.0,6.8,5.4,6.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Slovakia,8.6,7.1,9.8,7.4,7.7,:,:,7.1,5.7,5.0,8.2,6.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Türkiye,:,:,15.5,16.1,14.5,14.9,13.6,13.7,14.1,14.8,14.1,12.4
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,United Kingdom,8.6,7.8,6.5,7.3,9.4,7.8 b,8.6,:,:,:,:,:
