Time frequency,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Higher education sector,Hungary,0.23 d,0.2 d,0.18 d,0.16 d,0.13 d,0.17 d,0.19 bd,0.21 d,0.2 d,0.23 d,0.21,0.22
Annual,Percentage of gross domestic product (GDP),Higher education sector,Ireland,0.36,0.36 e,0.36,0.27,0.27,0.26,0.21,0.2,0.19,0.17 e,0.16 e,0.18 e
Annual,Percentage of gross domestic product (GDP),Higher education sector,Iceland,:,0.63 b,0.64,0.64,0.65,0.66,0.63,0.66,0.71,0.71,0.65,0.6
Annual,Percentage of gross domestic product (GDP),Higher education sector,Italy,0.35,0.37,0.36 e,0.34 e,0.33 e,0.32 e,0.32 e,0.33 e,0.35 e,0.34 e,0.34 e,0.33 ep
Annual,Percentage of gross domestic product (GDP),Higher education sector,Japan,0.42,0.44 b,0.42,0.4,0.38,0.38,0.37 b,0.38,0.38,0.39,0.39,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,South Korea,0.35,0.35,0.35,0.34,0.35,0.35,0.35,0.36,0.41,0.42,0.44,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,Lithuania,0.48,0.52,0.54,0.58,0.33,0.32,0.33,0.36,0.42,0.39,0.37,0.45 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Luxembourg,0.2,0.23,0.21,0.23,0.24,0.25,0.24,0.26,0.27 e,0.26,0.27,0.28 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Latvia,0.35,0.27,0.29,0.32,0.2,0.25,0.35,0.36,0.36,0.34,0.38,0.37
Annual,Percentage of gross domestic product (GDP),Higher education sector,Montenegro,:,0.12 d,0.14 d,0.17,0.19,0.17,0.17,0.13,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,North Macedonia,:,:,:,0.3,0.27,0.22,0.21,0.23,0.24,:,0.24,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,Malta,0.28,0.28,0.24,0.22,0.2,0.18,0.2,0.2,0.21,0.21,0.21,0.26
Annual,Percentage of gross domestic product (GDP),Higher education sector,Netherlands,0.6,0.61 b,0.63,0.63,0.6,0.6,0.58,0.59,0.63,0.63,0.58,0.54
Annual,Percentage of gross domestic product (GDP),Higher education sector,Norway,0.5,0.52,0.53,0.6,0.66,0.7,0.7,0.73,0.75,0.62,0.51 e,0.58
Annual,Percentage of gross domestic product (GDP),Higher education sector,Poland,0.3,0.26,0.28,0.29,0.3,0.34,0.38,0.47,0.48,0.49,0.46,0.52 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Portugal,0.5,0.59 b,0.59,0.57,0.57,0.56,0.56,0.56,0.58,0.56,0.53,0.51 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Romania,0.09,0.08,0.06,0.09,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.06 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Serbia,0.38,0.35,0.32,0.32,0.29,0.3,0.29,0.29,0.27,0.27,0.28,0.26
Annual,Percentage of gross domestic product (GDP),Higher education sector,Russia,0.1,0.09,0.1,0.11,:,0.1,0.1,0.11,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,Sweden,0.88 e,0.89,0.91 e,0.87,0.87 e,0.85,0.85,0.8 b,0.81,0.79,0.76,0.77 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Slovenia,0.29,0.27,0.25,0.23,0.22,0.21,0.23,0.24,0.26,0.26,0.27,0.29 p
Annual,Percentage of gross domestic product (GDP),Higher education sector,Slovakia,0.27,0.27,0.3,0.51,0.22,0.22,0.2,0.21,0.23,0.23,0.25,0.27
Annual,Percentage of gross domestic product (GDP),Higher education sector,Türkiye,0.36,0.34,0.35,0.4,0.48,0.5,0.5,0.51,0.53,0.48,0.45,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,United Kingdom,0.42,0.43,0.42,0.42,0.4,0.4,0.41,0.41 p,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Higher education sector,United States,0.37 d,0.36 d,0.35 d,0.35 d,0.36 d,0.36 d,0.36 d,0.36 d,0.38 d,0.36 d,0.36 dp,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Austria,0.01 e,0.01,0.01 e,0.02,0.02 e,0.02,0.02 e,0.02,0.02 e,0.02,0.02 e,0.02 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Bosnia and Herzegovina,0.0,0.0,0.0,:,:,:,:,0.0,0.0,0.0,:,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Belgium,0.01 b,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02 e,0.02 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Bulgaria,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Switzerland,0.05,:,:,0.08,:,0.08,:,0.09,:,0.09,:,:
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Cyprus,0.06,0.06,0.08,0.07,0.07,0.06,0.07,0.08,0.11,0.1,0.11,0.11 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Czechia,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02 bp
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Germany,:,:,:,:,:,:,:,:,:,:,0.07,0.07 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Denmark,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01 p,0.01,0.01 p,0.01,0.01 p
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Euro area - 19 countries  (2015-2022),0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.01 e,0.01 e,0.01 e,0.02 e,0.02 e,0.04 e,0.04 e
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Euro area – 20 countries (from 2023),0.02 e,0.02 e,0.02 e,0.02 e,0.02 e,0.01 e,0.01 e,0.01 e,0.02 e,0.02 e,0.04 e,0.04 e
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Estonia,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02
Annual,Percentage of gross domestic product (GDP),Private non-profit sector,Greece,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01 p
