Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Germany,:,20.7,18.6,21.4,23.1,24.4,8.6 b,3.8,1.8,3.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Denmark,:,-7.2,-4.5,-2.2,1.2,2.8,-4.3 b,1.4,3.4,-4.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,13.3,14.6,14.9,16.4,18.2,14.3,11.2,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Euro area - 18 countries (2014),:,13.1,14.4,14.8,16.1,18.1,14.1 b,11.1,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,13.3,14.6,14.9,16.4,18.2,14.3 b,11.2,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,13.5,14.8,15.2,16.7,18.4,14.4,11.4,10.0,12.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Estonia,:,33.6,32.0,28.9,37.9,31.4,23.8,23.6,31.9,29.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Greece,:,9.7,9.0,8.6,10.1,8.9,11.2,20.6,18.4,19.8
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Spain,:,12.9,12.3,17.9,13.9,10.9,16.2,13.4,12.6,14.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,12.4,14.0,14.1,15.9,19.0,15.4,12.5,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),:,14.2,15.7,15.6,17.4,19.0,15.4,12.5,11.3,13.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,12.4,14.0,14.1,15.9,19.0,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Finland,:,2.3,1.4,3.6,1.8,9.6,10.1,3.6,9.2 b,10.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,France,:,7.9,6.1,7.6,10.0,10.3,11.0 b,11.3,13.3 b,11.8
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Croatia,32.9,33.1,34.3,33.4,38.9,38.5,34.4,34.2,37.9,39.5 b
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Hungary,:,9.0,10.3,-1.1,16.3,11.0,32.2,22.8,19.4,1.5
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Ireland,:,2.8,8.1,9.6,8.8,-1.5 b,-2.0 b,-2.5,-3.3,-7.6
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Iceland,:,-14.7,-14.2,-8.9,-8.7,-19.9,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Italy,:,14.8,22.1,13.4,18.4,32.2,26.3,17.5,12.3,21.1
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Lithuania,:,33.3,38.6,37.2,50.2,44.3,38.9,35.8,35.4,28.1
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Luxembourg,:,-6.8,-20.7 b,-3.2,-4.6,1.9,4.2 b,-11.6 b,-18.9 b,-0.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Latvia,:,42.9,42.5,44.0,46.4,43.5,42.6,45.8,45.1,43.8
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,11.6,9.4,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,North Macedonia,:,25.5,42.0,37.8,34.7,39.9,41.8,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Malta,:,9.6,11.0,15.5,18.8,16.3,16.3,17.5,22.2,26.8
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Netherlands,:,-2.0,2.4 b,3.1,3.1,2.8,7.6,10.9,12.9,6.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Norway,:,4.2,3.0,6.0,5.6,5.2,0.9,-2.3 b,-2.9,-2.9 b
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Poland,:,14.3,20.2,17.0,17.0,20.2,14.5,15.6,13.1,18.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Portugal,:,18.1,11.3,19.7,24.0,16.4,11.3,18.6,12.8,23.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Romania,:,43.1,41.3,35.0,40.1,46.5,47.9,43.4,40.2,39.5
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Serbia,:,34.7,39.7,40.3,41.0,35.5,29.3,34.0,34.4,:
