Time frequency,Other gainful activity of the holder,Eurofarm indicators,Unit of measure,Other gainful activity of the spouse,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Austria,18.27,15.66,14.37,13.87
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Belgium,3.39,2.59,1.72,1.33
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Bulgaria,21.97,15.05,25.01,15.83
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Switzerland,:,:,4.02,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Cyprus,1.45,0.98,1.01,0.55
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Czechia,3.97,3.59,2.44,1.03
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Germany,35.42,28.28,21.22,19.22
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Denmark,3.68,2.6,1.91,0.91
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Estonia,1.84,1.22,1.05,0.99
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Greece,56.8,60.42,50.56,36.47
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Spain,53.51,44.26,43.41,26.72
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Finland,6.46,6.12,5.37,4.61
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,France,42.43,33.84,35.05,30.92
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Croatia,:,4.36,8.95,6.24
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Hungary,54.68,46.85,39.72,29.28
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Ireland,10.79,8.88,8.68,8.22
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Iceland,:,:,0.09,:
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Italy,56.49,49.07,79.32,44.5
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Lithuania,13.19,9.74,11.47,9.57
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Luxembourg,0.16,0.12,0.14,0.16
Annual,Total,hold: Total number of holdings,Thousand,Total,Less than 35 years,Latvia,9.85,7.76,4.62,4.24
