Time frequency,Unit of measure,Geopolitical entity (reporting),Water process\Time,9999.0
Not applicable,Million cubic metres,Latvia,Actual external inflow from neighbouring territories,16992.0
Not applicable,Million cubic metres,Latvia,Internal flow,19647.0
Not applicable,Million cubic metres,Latvia,Total actual outflow,32934.0
Not applicable,Million cubic metres,Latvia,Precipitation,43220.0
Not applicable,Million cubic metres,Latvia,Renewable freshwater resources,36639.0
Not applicable,Million cubic metres,North Macedonia,Actual external inflow from neighbouring territories,1014.0
Not applicable,Million cubic metres,North Macedonia,Total actual outflow,6322.0
Not applicable,Million cubic metres,North Macedonia,Precipitation,19533.0
Not applicable,Million cubic metres,Malta,Actual evapotranspiration,88.74
Not applicable,Million cubic metres,Malta,Actual external inflow from neighbouring territories,0.0
Not applicable,Million cubic metres,Malta,Internal flow,82.97
Not applicable,Million cubic metres,Malta,Total actual outflow,54.13
Not applicable,Million cubic metres,Malta,Precipitation,171.71
Not applicable,Million cubic metres,Malta,Renewable freshwater resources,82.97
Not applicable,Million cubic metres,Netherlands,Actual evapotranspiration,22311.00 d
Not applicable,Million cubic metres,Netherlands,Actual external inflow from neighbouring territories,78355.0
Not applicable,Million cubic metres,Netherlands,Internal flow,9706.00 d
Not applicable,Million cubic metres,Netherlands,Total actual outflow,84350.0
Not applicable,Million cubic metres,Netherlands,Precipitation,32017.0
Not applicable,Million cubic metres,Netherlands,Renewable freshwater resources,88061.0
Not applicable,Million cubic metres,Norway,Actual evapotranspiration,188815.39
Not applicable,Million cubic metres,Norway,Actual external inflow from neighbouring territories,6532.47
Not applicable,Million cubic metres,Norway,Internal flow,365333.6
Not applicable,Million cubic metres,Norway,Total actual outflow,368529.8
Not applicable,Million cubic metres,Norway,Precipitation,554148.98
Not applicable,Million cubic metres,Norway,Renewable freshwater resources,371866.06
Not applicable,Million cubic metres,Poland,Actual evapotranspiration,150796.3
Not applicable,Million cubic metres,Poland,Actual external inflow from neighbouring territories,7504.0
Not applicable,Million cubic metres,Poland,Internal flow,50319.2
Not applicable,Million cubic metres,Poland,Total actual outflow,57823.2
Not applicable,Million cubic metres,Poland,Precipitation,201115.5
Not applicable,Million cubic metres,Poland,Renewable freshwater resources,57823.2
Not applicable,Million cubic metres,Portugal,Actual evapotranspiration,43571.0
Not applicable,Million cubic metres,Portugal,Actual external inflow from neighbouring territories,35000.0
Not applicable,Million cubic metres,Portugal,Internal flow,38593.0
Not applicable,Million cubic metres,Portugal,Total actual outflow,34000.0
Not applicable,Million cubic metres,Portugal,Precipitation,82164.0
Not applicable,Million cubic metres,Portugal,Renewable freshwater resources,73593.0
Not applicable,Million cubic metres,Romania,Actual evapotranspiration,119599.0
Not applicable,Million cubic metres,Romania,Actual external inflow from neighbouring territories,284.0
Not applicable,Million cubic metres,Romania,Internal flow,39285.0
Not applicable,Million cubic metres,Romania,Precipitation,158884.0
Not applicable,Million cubic metres,Romania,Renewable freshwater resources,39569.0
Not applicable,Million cubic metres,Serbia,Actual evapotranspiration,44093.06
Not applicable,Million cubic metres,Serbia,Actual external inflow from neighbouring territories,153084.03
Not applicable,Million cubic metres,Serbia,Internal flow,13484.68
Not applicable,Million cubic metres,Serbia,Total actual outflow,166568.71
Not applicable,Million cubic metres,Serbia,Precipitation,57577.74
Not applicable,Million cubic metres,Serbia,Renewable freshwater resources,166568.71
Not applicable,Million cubic metres,Sweden,Actual evapotranspiration,169512.0
Not applicable,Million cubic metres,Sweden,Actual external inflow from neighbouring territories,14677.8
Not applicable,Million cubic metres,Sweden,Internal flow,170330.2
