Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Males,Less than 18 years,Euro area - 19 countries  (2015-2022),5.2,5.2,5.0,5.5,5.5,5.3,4.0,4.4,4.2,5.1
Annual,Percentage,Total,Males,Less than 18 years,Estonia,8.5,8.7,8.2,6.2 b,4.7,5.0,4.9,5.1,3.8,2.5
Annual,Percentage,Total,Males,Less than 18 years,Greece,6.2,4.9,7.8,6.5,7.4,7.6,7.1,8.5,8.6,9.2
Annual,Percentage,Total,Males,Less than 18 years,Spain,3.1 b,2.1,3.0,3.0,2.8,3.2,1.6,2.0,2.8,6.4
Annual,Percentage,Total,Males,Less than 18 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",7.7 e,7.5 e,7.5 e,7.5 e,7.3 e,7.2 e,5.8 e,6.0 e,5.6 e,:
Annual,Percentage,Total,Males,Less than 18 years,European Union - 27 countries (2007-2013),7.7,7.4,7.4,7.5,7.3,7.2,5.7,6.0,5.6 e,:
Annual,Percentage,Total,Males,Less than 18 years,European Union - 27 countries (from 2020),8.2 e,8.1 e,7.9 e,8.0 e,7.9 e,7.8 e,6.4 e,6.4 e,5.9 e,6.7 e
Annual,Percentage,Total,Males,Less than 18 years,European Union - 28 countries (2013-2020),7.7,7.5,7.5,7.5,7.3,7.2,5.8,6.0,5.6 e,:
Annual,Percentage,Total,Males,Less than 18 years,Finland,0.5,0.7,0.7,0.3,0.1,0.6,0.5,0.9,1.4,1.2
Annual,Percentage,Total,Males,Less than 18 years,France,3.6,3.8,2.6,3.6,4.0,4.7,2.6,3.9,3.6,5.7 b
Annual,Percentage,Total,Males,Less than 18 years,Croatia,12.9,12.2 b,11.7,9.8,9.5,8.1,7.5,7.5,8.4,6.5
Annual,Percentage,Total,Males,Less than 18 years,Hungary,25.8,27.7,28.6,27.9,24.0,27.1,26.1,15.0,15.5,14.9
Annual,Percentage,Total,Males,Less than 18 years,Ireland,1.0,0.6,1.7,1.7,2.1,1.8,1.2,1.0,2.0 b,2.9 b
Annual,Percentage,Total,Males,Less than 18 years,Iceland,2.5,3.4,4.4,3.4,3.9,2.4,2.3,1.7,4.5,:
Annual,Percentage,Total,Males,Less than 18 years,Italy,13.0,13.9,13.1,14.5,14.5,12.0,8.4,7.4,6.8,7.4
