Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Upper secondary education,Percentage,Latvia,29.0,27.0,29.4,29.4,49.4,50.5,50.0,55.2,51.4,48.1
Annual,Upper secondary education,Percentage,Montenegro,:,:,:,0.0,:,0.0,0.0,:,0.0,:
Annual,Upper secondary education,Percentage,North Macedonia,16.0,15.0,14.7,14.2 d,14.1,14.2,14.3,12.6,12.3,13.0
Annual,Upper secondary education,Percentage,Malta,1.5,4.0,3.1,7.1,8.0,12.7,7.9,11.6,9.3,11.2
Annual,Upper secondary education,Percentage,Netherlands,:,:,54.2,55.0,55.5,57.2,58.5,59.8,60.7,59.9
Annual,Upper secondary education,Percentage,Norway,31.9 d,33.3 d,32.9,29.4,29.1,29.4,28.4,24.3,24.1,23.8
Annual,Upper secondary education,Percentage,Poland,42.8,40.9,39.1,38.1,37.7,37.5,37.3,32.0,32.0,32.2
Annual,Upper secondary education,Percentage,Portugal,23.4,13.0,24.1 d,24.2 d,24.0,23.7 d,30.3 d,30.2 d,30.4 d,29.7 d
Annual,Upper secondary education,Percentage,Romania,15.3,16.6,10.3,10.1,10.4,9.8,8.8,9.4,8.4,8.2
Annual,Upper secondary education,Percentage,Serbia,36.6,38.6,38.4,: m,41.1,40.4,39.9,39.5,40.1,39.7
Annual,Upper secondary education,Percentage,Sweden,30.7,30.3,29.3,28.3,27.8,27.3,27.0,27.4,26.9,26.5
Annual,Upper secondary education,Percentage,Slovenia,22.4,21.9,22.5,11.9,4.0,4.2,8.9,9.9,9.9,9.6
Annual,Upper secondary education,Percentage,Slovakia,22.0,23.2,22.8,22.7,23.5,23.0,24.2,24.8,24.1,25.4
Annual,Upper secondary education,Percentage,Türkiye,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Upper secondary education,Percentage,United Kingdom,37.8,34.8,60.9 d,30.0,31.6,32.6 d,32.1 d,:,:,:
Annual,Post-secondary non-tertiary education,Percentage,Albania,:,:,:,:,:,:,:,:,: m,: m
Annual,Post-secondary non-tertiary education,Percentage,Austria,69.8,69.6,66.6,64.9,65.4,63.4,64.1,63.7,61.2,62.2
