Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 55 to 64 years,Females,Greece,0.0 u,10.1,2.9
Annual,Percentage,From 55 to 64 years,Females,Spain,9.7,31.0,24.0
Annual,Percentage,From 55 to 64 years,Females,European Union - 27 countries (from 2020),20.3,28.4,32.8
Annual,Percentage,From 55 to 64 years,Females,European Union - 28 countries (2013-2020),23.7,30.0,34.6
Annual,Percentage,From 55 to 64 years,Females,Finland,59.1,46.8,57.0
Annual,Percentage,From 55 to 64 years,Females,France,22.6,15.2,31.5
Annual,Percentage,From 55 to 64 years,Females,Croatia,28.1,18.8,24.7
Annual,Percentage,From 55 to 64 years,Females,Hungary,22.5,24.9,31.0
Annual,Percentage,From 55 to 64 years,Females,Ireland,25.3,16.2,43.4
Annual,Percentage,From 55 to 64 years,Females,Italy,10.2,19.4,25.3
Annual,Percentage,From 55 to 64 years,Females,Lithuania,19.8,24.3,41.3
Annual,Percentage,From 55 to 64 years,Females,Luxembourg,48.3 u,49.2,30.9
Annual,Percentage,From 55 to 64 years,Females,Latvia,31.1,32.4,28.5
Annual,Percentage,From 55 to 64 years,Females,Malta,68.1 u,27.7,40.8
Annual,Percentage,From 55 to 64 years,Females,Netherlands,27.0,34.7,50.7
Annual,Percentage,From 55 to 64 years,Females,Poland,27.7,23.1,28.0
Annual,Percentage,From 55 to 64 years,Females,Portugal,8.5,7.5,13.1
Annual,Percentage,From 55 to 64 years,Females,Romania,11.2,19.1,13.7
Annual,Percentage,From 55 to 64 years,Females,Sweden,43.9,49.3,46.5
Annual,Percentage,From 55 to 64 years,Females,Slovenia,40.6 u,45.7,37.7
Annual,Percentage,From 55 to 64 years,Females,Slovakia,31.4,29.4,38.7
Annual,Percentage,From 55 to 64 years,Females,United Kingdom,39.2,39.3,47.0
Annual,Percentage,From 55 to 64 years,Males,Austria,40.7,34.8,47.0
Annual,Percentage,From 55 to 64 years,Males,Belgium,40.3,28.0,44.4
Annual,Percentage,From 55 to 64 years,Males,Bulgaria,4.3,8.2,12.3
Annual,Percentage,From 55 to 64 years,Males,Cyprus,15.0,22.7,14.1
Annual,Percentage,From 55 to 64 years,Males,Czechia,26.9,47.2,48.0
Annual,Percentage,From 55 to 64 years,Males,Germany,19.2,35.4,31.3
Annual,Percentage,From 55 to 64 years,Males,Denmark,21.9,40.6,29.3
Annual,Percentage,From 55 to 64 years,Males,Estonia,23.0,37.5,41.6
Annual,Percentage,From 55 to 64 years,Males,Greece,7.2,10.6,6.1
Annual,Percentage,From 55 to 64 years,Males,Spain,15.0,26.5,20.2
Annual,Percentage,From 55 to 64 years,Males,European Union - 27 countries (from 2020),18.5,29.5,30.9
Annual,Percentage,From 55 to 64 years,Males,European Union - 28 countries (2013-2020),18.8,29.7,32.1
Annual,Percentage,From 55 to 64 years,Males,Finland,37.3,40.6,39.2
Annual,Percentage,From 55 to 64 years,Males,France,28.2,22.2,42.2
Annual,Percentage,From 55 to 64 years,Males,Croatia,31.4,18.0,25.6
Annual,Percentage,From 55 to 64 years,Males,Hungary,18.0,21.6,22.3
Annual,Percentage,From 55 to 64 years,Males,Ireland,33.5,27.7,43.5
Annual,Percentage,From 55 to 64 years,Males,Italy,5.5,28.3,30.1
Annual,Percentage,From 55 to 64 years,Males,Lithuania,22.4,13.0,31.5
Annual,Percentage,From 55 to 64 years,Males,Luxembourg,16.9 u,29.9,50.1
Annual,Percentage,From 55 to 64 years,Males,Latvia,23.9,9.9,22.2
Annual,Percentage,From 55 to 64 years,Males,Malta,30.2,15.8,26.0
Annual,Percentage,From 55 to 64 years,Males,Netherlands,24.2,42.4,46.7
Annual,Percentage,From 55 to 64 years,Males,Poland,14.1,31.3,21.5
Annual,Percentage,From 55 to 64 years,Males,Portugal,10.6,18.4,15.4
Annual,Percentage,From 55 to 64 years,Males,Romania,3.0,10.1,16.7
Annual,Percentage,From 55 to 64 years,Males,Sweden,30.8,43.8,36.4
Annual,Percentage,From 55 to 64 years,Males,Slovenia,18.3 u,41.5,37.2
Annual,Percentage,From 55 to 64 years,Males,Slovakia,39.1,38.7,45.7
Annual,Percentage,From 55 to 64 years,Males,United Kingdom,20.4,30.5,39.4
Annual,Percentage,From 55 to 64 years,Total,Austria,32.8,31.6,35.0
Annual,Percentage,From 55 to 64 years,Total,Belgium,36.9,32.5,43.5
Annual,Percentage,From 55 to 64 years,Total,Bulgaria,6.0,8.3,12.6
Annual,Percentage,From 55 to 64 years,Total,Cyprus,11.0,20.2,11.9
Annual,Percentage,From 55 to 64 years,Total,Czechia,23.9,44.6,48.4
Annual,Percentage,From 55 to 64 years,Total,Germany,19.1,36.6,34.3
Annual,Percentage,From 55 to 64 years,Total,Denmark,27.8,40.2,37.8
Annual,Percentage,From 55 to 64 years,Total,Estonia,26.9,39.7,46.1
Annual,Percentage,From 55 to 64 years,Total,Greece,5.4,10.4,4.8
Annual,Percentage,From 55 to 64 years,Total,Spain,13.2,28.1,21.8
Annual,Percentage,From 55 to 64 years,Total,European Union - 27 countries (from 2020),19.3,29.0,31.8
