Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Pa?Cani - Suceava,Passenger trains,11005.0
Annual,Number,Or?Ova - Timisoara,Goods trains,2315.0
Annual,Number,Or?Ova - Timisoara,Passenger trains,5957.0
Annual,Number,Stamora Moravita - Timisoara,Goods trains,1202.0
Annual,Number,Stamora Moravita - Timisoara,Passenger trains,4575.0
Annual,Number,Chitila - Titu,Goods trains,2350.0
Annual,Number,Chitila - Titu,Passenger trains,6555.0
Annual,Number,Filiasi - Târgu Jiu,Goods trains,2046.0
Annual,Number,Filiasi - Târgu Jiu,Passenger trains,3635.0
Annual,Number,Gura Motrului - Târgu Jiu,Goods trains,4818.0
Annual,Number,Gura Motrului - Târgu Jiu,Passenger trains,3484.0
Annual,Number,Dorne?Ti - Vic?Ani,Goods trains,1325.0
Annual,Number,Dorne?Ti - Vic?Ani,Passenger trains,756.0
Annual,Number,Giurgiu - Videle,Goods trains,1909.0
Annual,Number,Giurgiu - Videle,Passenger trains,2093.0
Annual,Number,Pite?Ti - Vâlcelele,Goods trains,0.0
Annual,Number,Pite?Ti - Vâlcelele,Passenger trains,0.0
Annual,Number,Podu Olt (Talmaciu) - Vintu De Jos,Goods trains,346.0
Annual,Number,Podu Olt (Talmaciu) - Vintu De Jos,Passenger trains,5052.0
