measure,domain
"Private sector debt: loans by sectors, non-consolidated - million units of national currency",Money & Markets
"Private sector debt: loans, by sectors, consolidated - % of GDP",Money & Markets
"Private sector debt: loans, by sectors, consolidated - million units of national currency",Money & Markets
"Private sector debt: loans, by sectors, non-consolidated - % of GDP",Money & Markets
Processors of organic products by NACE Rev. 2 activity (C),Money & Markets
"Producer price indices, animals and animal products",Environment & Natural Resources and Production
"Producer price indices, crop products",Environment & Natural Resources and Production
"Producer price indices, total agricultural production",Environment & Natural Resources and Production
Production and consumption of chemicals by hazard class,Environment & Natural Resources and Production
Production forecasts for pigs – thousand heads – quarterly data,Environment & Natural Resources and Production
Production in construction,Money & Markets
Production in industry - capital goods,Money & Markets
Production in industry - consumer durables,Money & Markets
Production in industry - consumer non-durables,Money & Markets
Production in industry - energy,Money & Markets
Production in industry - intermediate goods,Money & Markets
Production in industry - manufacturing,Money & Markets
Production in industry - total (excluding construction),Money & Markets
Production of bovine meat in slaughterhouses,Environment & Natural Resources and Production
Production of milk on farms,Environment & Natural Resources and Production
Production of milk powder,Environment & Natural Resources and Production
Production of pigmeat in slaughterhouses,Environment & Natural Resources and Production
Production of poultry meat in slaughterhouses,Environment & Natural Resources and Production
Production of sheepmeat and goat meat in slaughterhouses,Environment & Natural Resources and Production
Production of butter,Environment & Natural Resources and Production
Production of cheese,Environment & Natural Resources and Production
Production of eggs for consumption and number of laying hens,Environment & Natural Resources and Production
"Production, value added and employment by industry groups in the environmental goods and services sector",Money & Markets
Profit share of non-financial corporations,Money & Markets
Proportion of dissaving households - experimental statistics,Money & Markets
Proportion of fish stocks sustainably exploited,Environment & Natural Resources and Production
"Proportion of persons at risk of relative poverty, before social transfers by sex","People, Work & Living Conditions"
Proportion of persons living in jobless households,"People, Work & Living Conditions"
Proportion of population aged 65 and over,"People, Work & Living Conditions"
Protected areas,Environment & Natural Resources and Production
Protected forests,Environment & Natural Resources and Production
Protective functions of forests,Environment & Natural Resources and Production
Public expenditure on education,Money & Markets
Pupil/ student - teacher ratio and average class size (ISCED 1-3),Learning & Education
"Pupils aged 3 years old, by sex - as % of the population of the corresponding age group",Learning & Education
"Pupils aged 4 years old, by sex - as % of the population of the corresponding age group",Learning & Education
Pupils and students enrolled by education level,Learning & Education
Pupils and students in education aged 30 and over - per 1000 of corresponding age population,Learning & Education
Pupils and students in education by age groups - as % of corresponding age population,Learning & Education
Pupils from age 0 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Learning & Education
Pupils from age 3 to the starting age of compulsory education at primary level by NUTS2 regions - % of the population of the corresponding age,Learning & Education
Pupils from age 3 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Learning & Education
Pupils from age 4 to the starting age of compulsory education at primary level by NUTS2 regions - % of the population of the corresponding age,Learning & Education
"Pupils from age 4 to the starting age of compulsory education at primary level, by sex - as % of the population of the corresponding age group",Learning & Education
Pupils from age 5 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,Learning & Education
Pupils under the age of 3 by sex - as % of the population of the corresponding age,Learning & Education
"Purchase price indices, total means of agricultural production",Environment & Natural Resources and Production
Purchases of advertising space or time for resale,Money & Markets
Purchasing Power Parities in the European Union (Countries) - index = 1),Money & Markets
Purchasing Power Parities in the European Union (Duty stations) - index (Brussels = 1),Money & Markets
Purchasing power adjusted GDP per capita,Money & Markets
Quality of education,Learning & Education
R&D personnel and researchers in the business enterprise sector by concentration of personnel (ranking),Tech & Innovation
Rail accidents by type of accident,Transports
Rail accidents involving the transport of dangerous goods,Transports
Rail equipment: number and capacity of railways vehicles,Transports
Rail equipment: number and load capacity of goods transport wagons,Transports
Rail equipment: number of locomotives and passenger railways vehicles,Transports
Rail freight traffic,Transports
Rail infrastructure: length of network,Transports
Rail passenger and freight traffic,Transports
Rail passenger traffic,Transports
Rail transport of passengers,Transports
Railway accidents by type of accident - annual data,Health & Safety
Railway enterprises by type of enterprise,"People, Work & Living Conditions"
Railway transport vans,Transports
"Rape, turnip rape, sunflower seeds and soya by area",Environment & Natural Resources and Production
"Ratio of annual expenditure per student at the tertiary level and primary level of education, in public educational institutions",Learning & Education
Ratio of pupils to teachers and teacher aides by education level and programme orientation,Learning & Education
Ratio of the proportion of tertiary students over the proportion of the population by NUTS1 and NUTS2 regions,Learning & Education
Raw material consumption (RMC),Environment & Natural Resources and Production
Real GDP growth rate - volume,Money & Markets
Real GDP per capita,Money & Markets
Real effective exchange rate - 42 trading partners,Money & Markets
Real effective exchange rate – euro area trading partners,Money & Markets
"Real effective exchange rate – index, 42 trading partners",Money & Markets
"Real effective exchange rate – percentage changes, 42 trading partners",Money & Markets
Recognised cases of occupational cancers - experimental statistics,Health & Safety
Recovery rates for packaging waste,Environment & Natural Resources and Production
Recycling rate of all waste excluding major mineral waste,Environment & Natural Resources and Production
Recycling rate of municipal waste,Environment & Natural Resources and Production
Recycling rate of packaging waste by type of packaging,Environment & Natural Resources and Production
Recycling rate of waste of electrical and electronic equipment (WEEE) separately collected,Environment & Natural Resources and Production
Recycling rates for packaging waste,Environment & Natural Resources and Production
Regional disparities in gender employment gap (NUTS level 2),"People, Work & Living Conditions"
Regional disparities in long-term unemployment rates (NUTS level 2),"People, Work & Living Conditions"
Regional disparities in the rate of early leavers from education and training (NUTS level 2),"People, Work & Living Conditions"
Regional disparities in the rate of young people neither in employment nor in education and training (NEET) (NUTS level 2),"People, Work & Living Conditions"
Registered Community designs (RCD),Tech & Innovation
Registered Community designs (RCD) by metropolitan regions,Tech & Innovation
Registered Community designs (RCD) by other typologies,Tech & Innovation
Relative at risk of poverty gap by poverty threshold - EU-SILC and ECHP surveys,"People, Work & Living Conditions"
Relative incidence rate of accidental injuries at work by occupation and NACE Rev. 1.1 activity mean rate = 100),Health & Safety
"Relative incidence rate of accidental injuries at work by severity, frequency of night work and age mean rate = 100 for each severity)",Health & Safety
"Relative incidence rate of accidental injuries at work by severity, frequency of shift work and age mean rate = 100 for each severity)",Health & Safety
"Relative incidence rate of accidental injuries at work by severity, working hours and sex mean rate = 100 for each severity)",Health & Safety
Relative median at-risk-of-poverty gap,"People, Work & Living Conditions"
Relative median at-risk-of-poverty gap of elderly people - EU-SILC and ECHP surveys,"People, Work & Living Conditions"
Relative median income ratio (60+) - EU-SILC survey,"People, Work & Living Conditions"
Relative median income ratio (65+) - EU-SILC and ECHP surveys,"People, Work & Living Conditions"
Relative median poverty risk gap by age group - EU-SILC survey,"People, Work & Living Conditions"
Relative median poverty risk gap of elderly people - EU-SILC survey,"People, Work & Living Conditions"
Relative poverty gap by risk of poverty and work intensity of the household,"People, Work & Living Conditions"
Relative poverty gap by risk of poverty and work intensity of the households with income from benefits,"People, Work & Living Conditions"
"Relative poverty threshold after social transfers, income per month","People, Work & Living Conditions"
Relative standardised incidence rate of accidental injuries at work by educational attainment level and sex (mean rate for each Member State = 100),Health & Safety
Remuneration indexes of national civil servants in central public administration,"People, Work & Living Conditions"
Renewable freshwater resources,Environment & Natural Resources and Production
"Research and development expenditure, by sectors of performance",Tech & Innovation
Researchers in the higher education sector by seniority category,Learning & Education
researchers by sectors of performance - head count,Tech & Innovation
Resettled persons - annual data,"People, Work & Living Conditions"
"Resettled persons by age, sex and citizenship - annual data","People, Work & Living Conditions"
"Residential construction - annual data, % of GDP",Money & Markets
Resource productivity,Environment & Natural Resources and Production
Retail trade turnover - automotive fuel,Money & Markets
"Retail trade turnover - food, beverages and tobacco",Money & Markets
Retail trade turnover - non food,Money & Markets
Retail trade turnover - total,Money & Markets
Retail trade volume of sales - automotive fuel,Money & Markets
"Retail trade volume of sales - food, beverages and tobacco",Money & Markets
Retail trade volume of sales - non food,Money & Markets
Retail trade volume of sales - total,Money & Markets
Retail trade volume of sales index (deflated turnover),Money & Markets
Return on equity of banks,Money & Markets
Returns by type of return - % of total returns,Money & Markets
Road equipment: number of road vehicles by age,Transports
Road equipment: number of road vehicles by categories,Transports
Road freight transport,Transports
Road traffic: road freight transport in volume,Transports
Road accidents: persons killed,Health & Safety
"Road cabotage transport by country in which cabotage takes place (t, tkm) - (from onwards)",Transports
Road cabotage transport by country in which cabotage takes place (tkm) -,Transports
Road cabotage transport performed by each reporting country (tkm) -,Transports
Road equipment: load capacity of lorries,Transports
Road equipment: new registrations by categories,Transports
Road infrastructure: lenght of road network,Transports
Road tractors by type of motor energy (until,Transports
Root crops and plants harvested green from arable land by area,Environment & Natural Resources and Production
"Rye and winter cereal mixtures by area, production and humidity",Environment & Natural Resources and Production
Safety copies and back up files,Tech & Innovation
Sales and collection of portable batteries and accumulators,Money & Markets
Satisfaction with the job by risk of poverty threshold and level of disability (activity limitation),"People, Work & Living Conditions"
"Satisfaction with the job by sex, age and educational attainment","People, Work & Living Conditions"
School completion rate at ISCED 1 level by sex,Learning & Education
Sea transport of goods,Transports
"Seat capacity of new motor coaches, buses and trolley buses",Transports
Seat capacity of passenger railway vehicles by type of vehicles,Transports
Seat/berth capacity of passenger railway vehicles,Transports
"Seats /berths in motor coaches, buses and trolley buses",Transports
Seats held by women in national parliaments and governments,"People, Work & Living Conditions"
Secondary energy production (transformation),Environment & Natural Resources and Production
"Secondary wood products, production",Environment & Natural Resources and Production
Self defined health status by age and income quantile - ECHP survey,Health & Safety
"Self-declared over-qualified employees as percentage of the total employees by sex, age, migration status and educational attainment level","People, Work & Living Conditions"
"Self-employed persons having at least one client in the last 12 months by control over working time, and sex","People, Work & Living Conditions"
Self-reported unmet need for medical care by sex,Health & Safety
Self-reported unmet need for medical examination and care by sex,Health & Safety
"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",Health & Safety
"Self-reported unmet needs for medical examination due to financial reasons, long waiting list or distance by NUTS regions - % of the persons having the same needs",Health & Safety
Self-reported breast examination by X-ray by educational attainment level among women aged 50-69 (%),Health & Safety
Self-reported cervical smear test by educational attainment level among women aged 20-69 (%),Health & Safety
Self-reported use of home care services by people with severe difficulty in personal care activities by age and household type,Health & Safety
Self-reported use of home care services by people with severe difficulty in personal care activities by sex and age,Health & Safety
self-sufficiency for raw materials,Environment & Natural Resources and Production
Selling prices of barley,Environment & Natural Resources and Production
Selling prices of calves,Environment & Natural Resources and Production
Selling prices of chickens (live 1st choice),Environment & Natural Resources and Production
Selling prices of fresh eggs,Environment & Natural Resources and Production
Selling prices of main crop potatoes,Environment & Natural Resources and Production
Selling prices of maize,Environment & Natural Resources and Production
Selling prices of oats,Environment & Natural Resources and Production
Selling prices of piglets,Environment & Natural Resources and Production
Selling prices of pigs (light),Environment & Natural Resources and Production
Selling prices of raw cow's milk,Environment & Natural Resources and Production
Selling prices of sheep,Environment & Natural Resources and Production
Selling prices of soft wheat,Environment & Natural Resources and Production
Selling prices of sugar beet (unit value),Environment & Natural Resources and Production
"Semi-trailers and their load capacity, by permissible maximum gross weight",Transports
Semi-trailers by load capacity (until,Transports
Services trade by broad economic categories (BEC Rev.5),Money & Markets
"Services turnover index, calendar adjusted",Money & Markets
Settlement area,"People, Work & Living Conditions"
Settlement area per capita,"People, Work & Living Conditions"
"Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey","People, Work & Living Conditions"
Severe housing deprivation rate by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions"
Severe housing deprivation rate by income quintile - EU-SILC survey,"People, Work & Living Conditions"
Severe housing deprivation rate by poverty status,"People, Work & Living Conditions"
Severe housing deprivation rate by tenure status,"People, Work & Living Conditions"
Severe material deprivation rate by age and sex,"People, Work & Living Conditions"
Severe material and social deprivation by NUTS region,"People, Work & Living Conditions"
Severe material and social deprivation rate,"People, Work & Living Conditions"
Severe material and social deprivation rate by age group and sex,"People, Work & Living Conditions"
Severe material and social deprivation rate by sex,"People, Work & Living Conditions"
Severe material and social deprivation rate for children (aged less than 18) by sex,"People, Work & Living Conditions"
Severe material deprivation rate by NUTS 2 regions,"People, Work & Living Conditions"
Severe material deprivation rate by NUTS regions,"People, Work & Living Conditions"
Severe material deprivation rate by tenure status,"People, Work & Living Conditions"
Severely materially and socially deprived people,"People, Work & Living Conditions"
Sewage sludge production and disposal from urban wastewater (in dry substance (d.s)),Environment & Natural Resources and Production
Share for transmission and distribution in the network cost for gas and electricity - annual data,Environment & Natural Resources and Production
Share of European Neighbourhood Policy East Countries in European Union 27 trade,Money & Markets
Share of GBAORD allocated to defence and total civil socio-economic objectives,Money & Markets
Share of GBARD in total general government expenditure,Money & Markets
Share of buses and trains in inland passenger transport,Transports
Share of children (aged less than 18) living with their parents by type of household - EU-SILC survey,"People, Work & Living Conditions"
Share of digital platform workers (in the last 12 months) by educational attainment level - experimental statistics,"People, Work & Living Conditions"
Share of digital platform workers (in the last 12 months) by type of task or service - experimental statistics,"People, Work & Living Conditions"
Share of employment in Member States supported by exports (FIGARO application),Money & Markets
Share of energy from renewable sources,Environment & Natural Resources and Production
Share of enterprises' turnover on e-commerce - %,Money & Markets
Share of environmental taxes in total tax revenues,Money & Markets
Share of forest area,Environment & Natural Resources and Production
Share of fossil fuels in gross available energy,Environment & Natural Resources and Production
Share of government budget appropriations or outlays on research and development,Money & Markets
Share of landcover types affected by severe erosion,Environment & Natural Resources and Production
"Share of mobile students from abroad enrolled by education level, sex and country of origin",Learning & Education
Share of organic crop area out of the total utilised agricultural area (UAA) (until,Environment & Natural Resources and Production
Share of people living in under-occupied dwellings by degree of urbanisation - total population - EU-SILC survey,"People, Work & Living Conditions"
Share of people living in under-occupied dwellings by tenure status - total population - EU-SILC survey,"People, Work & Living Conditions"
Share of people with good or very good perceived health by sex,Health & Safety
Share of rail and inland waterways in inland freight transport,Transports
Share of renewable energy in gross final energy consumption by sector,Environment & Natural Resources and Production
Share of total population considering their dwelling as too dark - EU-SILC survey,"People, Work & Living Conditions"
"Share of total population having neither a bath, nor a shower in their dwelling - EU-SILC survey","People, Work & Living Conditions"
"Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames of floor - EU-SILC survey","People, Work & Living Conditions"
Share of total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey,"People, Work & Living Conditions"
Share of trade with the EU27 (from,Money & Markets
Share of value added in Member States supported by exports (FIGARO application),Money & Markets
"Share of women researchers, all sectors","People, Work & Living Conditions"
"Share of women researchers, by sectors of performance","People, Work & Living Conditions"
"Short sea shipping - country level - gross weight of goods transported to/from main ports, by direction",Transports
"Short sea shipping - country level - volume (in TEU's) of containers transported to/from main ports, by loading status",Transports
"Short sea shipping - level - gross weight of goods transported to/from main ports, by type of cargo for each sea region of partner ports",Transports
Simplified energy balances,Environment & Natural Resources and Production
Smoking prevalence by sex,Health & Safety
Social protection expenditure excluding administrative costs (including health expenditure) as a share of GDP,"People, Work & Living Conditions"
Social protection receipts by type,"People, Work & Living Conditions"
Soil sealing index,Environment & Natural Resources and Production
Solar thermal collectors' surface,Environment & Natural Resources and Production
Sources of information used for getting information on learning possibilities,Learning & Education
Special purpose road vehicles,Transports
Standardised death rate due to homicide by sex,Health & Safety
"Standardised death rate due to tuberculosis, HIV and hepatitis by type of disease",Health & Safety
Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and employment status,Health & Safety
Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and size of enterprise,Health & Safety
Standardised preventable and treatable mortality,Health & Safety
"Stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics",Money & Markets
Stock of vehicles by category,Transports
Structural information,Tech & Innovation
Students in post-compulsory education - as % of the total population of post-compulsory school age,Learning & Education
Students in tertiary education - as % of 20-24 years old in the population,Learning & Education
Subjective poverty by degree of urbanization,"People, Work & Living Conditions"
Subjective poverty by educational attainment level (population aged 18 and over),"People, Work & Living Conditions"
Subjective poverty by tenure status,"People, Work & Living Conditions"
Suicide death rate by age group,Health & Safety
Suicides involving railways,Health & Safety
Surface of the marine protected areas,Environment & Natural Resources and Production
Surface of the terrestrial protected areas,Environment & Natural Resources and Production
Suspects of migrant smuggling by citizenship,Health & Safety
Table grape vines - Area by age and density classes (area in ha),Environment & Natural Resources and Production
Tax rate on low wage earners - Low wage trap,"People, Work & Living Conditions"
Tax rate on low wage earners - Unemployment trap,"People, Work & Living Conditions"
Tax rate on low wage earners: Tax wedge on labour costs,"People, Work & Living Conditions"
"Teachers working part-time - as % of all teachers, by education level",Learning & Education
Technical and vocational education training (TVET),Learning & Education
Terms of trade by items - 5 years % change,Money & Markets
"Territorialised road freight transport, by transport coverage – annual data",Transports
Tertiary educational attainment by sex,Learning & Education
"Tertiary educational attainment, age group 30-34",Learning & Education
The real gross disposable income of households per capita (index =,"People, Work & Living Conditions"
Third country nationals ordered to leave - annual data (rounded),"People, Work & Living Conditions"
Third country nationals returned following an order to leave - annual data (rounded),"People, Work & Living Conditions"
Tier-1 capital ratio banking sector,Money & Markets
Time spent doing more than one activity simultaneously,Living Well
"Time spent watching or other media, playing computer games and any similar screen activities (as main or secondary activity)",Living Well
"Time spent, participation time and participation rate in the main activity by sex and educational attainment level",Living Well
Time spent alone,Living Well
Time spent in total work (paid and unpaid work as main or secondary activity) by sex and by form of work,Living Well
Time spent in unpaid forms of work (as main or secondary activity) by sex and by form of work,Living Well
Time spent on eating at home (as main or secondary activity),Living Well
"Time spent on health-enhancing (non-work-related) aerobic physical activity by sex, age and educational attainment level",Health & Safety
Time spent on travelling by mode of transport,Transports
Time spent providing childcare (as main or secondary activity),Living Well
Top 5 ports - gross weight of goods handled in each port,Transports
Top 5 ports for Ro-ro units - gross weight of goods in Ro-Ro units handled in each port,Transports
Top 5 ports for containers - gross weight of goods in containers handled in each port,Transports
Top 5 ports for liquid bulk - gross weight of liquid bulk goods handled in each port,Transports
Top 5 ports for volume of containers - volume (in TEUs) of containers handled in each port,Transports
Tourism infrastructure,Living Well
Trade balance,Money & Markets
"Trade volume indices, by reporting country",Money & Markets
Trade in services with the top 5 partners,Money & Markets
Trade in goods with the top 5 partners,Money & Markets
"Trade in goods, by main world traders - EU27 (from",Money & Markets
"Trade unit value indices, by reporting country",Money & Markets
"Trailers and their load capacity, by permissible maximum gross weight",Transports
Trailers by load capacity (until,Transports
Train traffic on the rail network -,Transports
Train traffic on the rail network - Czech Republic,Transports
Train traffic on the rail network - Hungaria,Transports
Train traffic on the rail network - North Macedonia,Transports
Train traffic on the rail network - the Former Yugoslav Republic of Macedonia,Transports
Trainsets and capacity by type of speed,Transports
"Transition from fixed term contracts to permanent contracts by sex and age (annual averages of quarterly transitions, estimated probabilities) - experimental statistics","People, Work & Living Conditions"
"Transition from part-time work to full-time work by sex and age (annual averages of quarterly transitions, estimated probabilities) - experimental statistics","People, Work & Living Conditions"
Treatment and disposal facilities,Environment & Natural Resources and Production
Treatment of municipal waste,Environment & Natural Resources and Production
"Trust in others by sex, age and educational attainment",Living Well
Turnover by client specialisation and NACE Rev.1 at 3-digit level,Money & Markets
Turnover by client specialisation and employment size class,Money & Markets
Turnover by client specialisation and product specialisation,Money & Markets
Turnover by nationality of client and NACE Rev.1 at 3-digit level,Money & Markets
Turnover by nationality of client and employment size class,Money & Markets
Turnover by product specialisation and employment size class for group 72.2,Money & Markets
Turnover by product specialisation for div. 72,Money & Markets
Turnover by residence of client and economic activity,Money & Markets
Turnover in industry - capital goods,Money & Markets
Turnover in industry - consumer durables,Money & Markets
Turnover in industry - consumer non-durables,Money & Markets
Turnover in industry - intermediate goods,Money & Markets
Turnover in industry - manufacturing,Money & Markets
Turnover by type of client and NACE Rev.1 at 3-digit level,Money & Markets
Turnover by type of client and employment size class,Money & Markets
Turnover by type of media for advertising services,Money & Markets
Typical dwelling sizes by type of dwelling in each surveyed city,"People, Work & Living Conditions"
Under 5 mortality rate by sex,Health & Safety
Unemployment by sex,"People, Work & Living Conditions"
Unemployment by sex - age group 15-24,"People, Work & Living Conditions"
Unemployment by sex - age group 25-74,"People, Work & Living Conditions"
Unemployment rate,"People, Work & Living Conditions"
Unemployment rate - 3 year average,"People, Work & Living Conditions"
Unemployment rate - annual data,"People, Work & Living Conditions"
"Unemployment rate - quarterly data, seasonally adjusted","People, Work & Living Conditions"
Unemployment rates by sex and age,"People, Work & Living Conditions"
"Unemployment rates by sex, age and educational attainment level (%)","People, Work & Living Conditions"
Unemployment rates of the population aged 25-64 by educational attainment level,"People, Work & Living Conditions"
unemployment rate,"People, Work & Living Conditions"
Unemployment rate by education level,"People, Work & Living Conditions"
Unemployment rate by sex,"People, Work & Living Conditions"
Unemployment rate by sex - age group 15-24,"People, Work & Living Conditions"
Unemployment rate by sex - age group 25-74,"People, Work & Living Conditions"
Unit labour cost performance related to the euro area - annual data,Money & Markets
Unit value of exports,Money & Markets
Unit value of imports,Money & Markets
Unitisation in inland waterways freight transport - tonne-kilometre for gross-gross weight of goods,Transports
Unitisation in maritime freight transport - tonnes for gross weight of goods,Transports
Unitisation in rail freight transport- tonne-kilometre for gross-gross weight of goods,Transports
Unitisation in road freight transport - tonne-kilometre for gross weight of goods,Transports
Unitisation in the different modes of transport - tonne-kilometre for gross weight of goods,Transports
Urban wastewater treatment,Environment & Natural Resources and Production
Use and risk of chemical pesticides,Environment & Natural Resources and Production
Usually resident population on 1 January,"People, Work & Living Conditions"
Vaccination against influenza of population aged 65 and over,Health & Safety
Valid permits by reasons - % of total valid permits,Money & Markets
Value Added in Foreign Controlled Enterprises,Money & Markets
Vessel traffic,Transports
Vessels arriving in main ports by type of vessels (estimates) - experimental statistics,Transports
Victims of trafficking in human beings by all forms of exploitation,Health & Safety
Victims of trafficking in human beings by citizenship,Health & Safety
Victims of trafficking in human beings by sex,Health & Safety
Volume of freight transport relative to GDP,Transports
Volume of containers handled in the top 20 main ports by loading status,Transports
Volume of passenger transport relative to GDP,Transports
Volume of timber FE),Environment & Natural Resources and Production
Waste generated by households by year and waste category,Environment & Natural Resources and Production
Waste generation per capita,Environment & Natural Resources and Production
Water abstracted by sector of use,Environment & Natural Resources and Production
Water supplied and used by economic sectors,Environment & Natural Resources and Production
"Water exploitation index, plus (WEI+)",Environment & Natural Resources and Production
Water resources: long-term annual average,Environment & Natural Resources and Production
Water use balance,Environment & Natural Resources and Production
Water use by economic activity,Environment & Natural Resources and Production
Weights of producer prices of agricultural products - survey,Environment & Natural Resources and Production
Weights of purchase prices of the means of agricultural production - survey,Environment & Natural Resources and Production
"Wheat and spelt by area, production and humidity",Environment & Natural Resources and Production
"Women as victims/non-victims of violence, by awareness of free legal aid",Health & Safety
"Women as victims/non-victims of violence, by awareness of the existence of support services",Health & Safety
"Women who have experienced sexual violence during childhood, by age group",Health & Safety
"Women who have experienced sexual violence during childhood, by person/support service to whom violence was reported",Health & Safety
"Women who have experienced sexual violence during childhood, by type of perpetrator",Health & Safety
"Women who have experienced stalking, by age group",Health & Safety
"Women who have experienced stalking, by consequences of violence",Health & Safety
"Women who have experienced stalking, by occurrence of the last episode",Health & Safety
"Women who have experienced stalking, by person/support service to whom violence was reported",Health & Safety
"Women who have experienced stalking, by type of perpetrator",Health & Safety
"Women who have experienced violence by a domestic perpetrator, by age group",Health & Safety
"Women who have experienced violence by a domestic perpetrator, by country of birth",Health & Safety
"Women who have experienced violence by a domestic perpetrator, by degree of urbanisation",Health & Safety
"Women who have experienced violence by a domestic perpetrator, by level of disability (activity limitation)",Health & Safety
"Women who have experienced violence by a domestic perpetrator, by level of education",Health & Safety
"Women who have experienced violence by a domestic perpetrator, by occurrence of the last episode",Health & Safety
"Women who have experienced violence by a domestic perpetrator, by type of violence",Health & Safety
Women who have experienced violence by a non-partner and consequences of violence,Health & Safety
"Women who have experienced violence by a non-partner, by age group",Health & Safety
"Women who have experienced violence by a non-partner, by country of birth",Health & Safety
"Women who have experienced violence by a non-partner, by degree of urbanisation",Health & Safety
"Women who have experienced violence by a non-partner, by level of disability (activity limitation)",Health & Safety
"Women who have experienced violence by a non-partner, by level of education",Health & Safety
"Women who have experienced violence by a non-partner, by occurrence of the last episode",Health & Safety
"Women who have experienced violence by a non-partner, by person/support service to whom violence was reported",Health & Safety
"Women who have experienced violence by a non-partner, by type and frequency of violence",Health & Safety
"Women who have experienced violence by a non-partner, by type of perpetrator",Health & Safety
"Women who have experienced violence by a non-partner, by type of violence",Health & Safety
Women who have experienced violence by any perpetrator and consequences of violence,Health & Safety
"Women who have experienced violence by any perpetrator, by age group",Health & Safety
"Women who have experienced violence by any perpetrator, by country of birth",Health & Safety
"Women who have experienced violence by any perpetrator, by degree of urbanisation",Health & Safety
"Women who have experienced violence by any perpetrator, by level of disability (activity limitation)",Health & Safety
"Women who have experienced violence by any perpetrator, by level of education",Health & Safety
"Women who have experienced violence by any perpetrator, by occurrence of the last episode",Health & Safety
"Women who have experienced violence by any perpetrator, by person/support service to whom violence was reported",Health & Safety
"Women who have experienced violence by any perpetrator, by type and frequency of violence",Health & Safety
"Women who have experienced violence by any perpetrator, by type of violence",Health & Safety
Work-related health problems in by sex,Health & Safety
Young people aged 20-24 with at least upper secondary educational attainment level by sex,Learning & Education
Young people neither in employment nor in education and training (15-29 years) - % of the total population in the same age group,"People, Work & Living Conditions"
"Young people neither in employment nor in education and training (NEET), by citizenship","People, Work & Living Conditions"
Young people neither in employment nor in education and training by sex (NEET),"People, Work & Living Conditions"
"Young people neither in employment nor in education and training by sex, age and labour status (NEET rates)","People, Work & Living Conditions"
"Youth employment rate, age group 20-29","People, Work & Living Conditions"
Youth unemployment rate - % of active population aged 15-24,"People, Work & Living Conditions"
Youth unemployment rate by sex,"People, Work & Living Conditions"
Youth unemployment ratio (15-24),"People, Work & Living Conditions"
economy deficit/surplus,Money & Markets
financing to developing countries by financing source,Money & Markets
index of occupational diseases – experimental statistics,Health & Safety
