"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                            Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 region"	"ef_lu_pcreg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	492194
"                            Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 region"	"ef_lu_ofirrig"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	21949
"                        Livestock"	"reg_ef_ls"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 region"	"ef_ls_ovaareg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	761128
"                            Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 region"	"ef_ls_ovlsureg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	759761
"                            Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 region"	"ef_ls_ovesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	757142
"                        Special interest topics"	"reg_ef_so"	"folder"	" "	" "	" "	" "	
"                            Organic farming: selected variables by size of farm (UAA) and NUTS 2 region (2000-2007)"	"ef_so_mporg"	"dataset"	"18.04.2009"	"21.12.2023"	"2000"	"2007"	98860
"                            Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 region (1990-2007)"	"ef_so_mptenure"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	111860
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 region"	"ef_so_lfaa"	"dataset"	"15.04.2009"	"21.12.2023"	"1990"	"2007"	1714420
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 region"	"ef_so_lfesu"	"dataset"	"15.04.2009"	"21.12.2023"	"1990"	"2007"	1676077
"                        Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h_"	"folder"	" "	" "	" "	" "	
"                            Structure of agricultural holdings by NUTS 3 region - main indicators"	"ef_r_nuts"	"dataset"	"10.09.2009"	"21.12.2023"	"2000"	"2007"	615432
"                Economic accounts for agriculture"	"reg_aact_eaa"	"folder"	" "	" "	" "	" "	
"                    Economic accounts for agriculture by NUTS 2 region - values at current prices"	"aact_eaa01_r"	"dataset"	"24.03.2026"	"24.03.2026"	"1980"	"2024"	4929942
